ts,action,entry,exit,sl,tp,pnl,rr,reason
2026-05-08T17:40:00+00:00,BUY,91.78812,,89.85,93.72624,0.0,1.0,ENTRY_BUY
2026-05-08T23:40:00+00:00,SHORT,91.84,,92.057862,91.622138,0.0,1.0,ENTRY_SHORT
2026-05-08T23:55:00+00:00,COVER,91.84,92.057862,92.057862,91.622138,-0.0376,1.0,SL_HIT
2026-05-09T01:50:00+00:00,SELL,91.78812,93.72624,89.85,93.72624,2.0,1.0,TP_HIT
2026-05-09T04:45:00+00:00,SHORT,93.485,,93.7526,93.2174,0.0,1.0,ENTRY_SHORT
2026-05-09T04:55:00+00:00,COVER,93.485,93.2174,93.7526,93.2174,0.8756,1.0,TP_HIT
2026-05-09T05:00:00+00:00,SHORT,93.33324,,93.623955,93.042525,0.0,1.0,ENTRY_SHORT
2026-05-09T05:00:00+00:00,COVER,93.33324,93.042525,93.623955,93.042525,0.961,1.0,TP_HIT
2026-05-09T05:05:00+00:00,SHORT,93.07298,,93.42,92.72596,0.0,1.0,ENTRY_SHORT
2026-05-09T05:20:00+00:00,COVER,93.07298,93.42,93.42,92.72596,-1.161,1.0,SL_HIT
2026-05-09T09:05:00+00:00,SHORT,93.665,,93.867781,93.462219,0.0,1.0,ENTRY_SHORT
2026-05-09T09:15:00+00:00,SHORT,93.58349,,93.787648,93.379332,0.0,1.0,ENTRY_SHORT
2026-05-09T09:15:00+00:00,COVER,93.665,93.462219,93.867781,93.462219,0.6666,1.0,TP_HIT
2026-05-09T09:15:00+00:00,COVER,93.58349,93.379332,93.787648,93.379332,0.6583,1.0,TP_HIT
2026-05-09T09:20:00+00:00,SHORT,93.26317,,93.62,92.90634,0.0,1.0,ENTRY_SHORT
2026-05-09T11:20:00+00:00,COVER,93.26317,93.62,93.62,92.90634,-1.1933,1.0,SL_HIT
