ts,action,entry,exit,sl,tp,pnl,rr,reason
2026-05-08T13:40:00+00:00,SHORT,88.315,,88.17001,88.17,0.0,1.0,ENTRY_SHORT
2026-05-08T13:40:00+00:00,COVER,88.315,88.17,88.17001,88.17,3.0,1.0,TP_HIT
2026-05-08T16:25:00+00:00,BUY,89.61,,89.63999,89.64,0.0,1.0,ENTRY_BUY
2026-05-08T16:25:00+00:00,SELL,89.61,89.63999,89.63999,89.64,2.999,1.0,SL_HIT
2026-05-08T18:20:00+00:00,BUY,92.015,,92.03999,92.04,0.0,1.0,ENTRY_BUY
2026-05-08T18:20:00+00:00,SELL,92.015,92.04,92.03999,92.04,3.0,1.0,TP_HIT
2026-05-09T01:10:00+00:00,BUY,92.575,,92.61999,92.62,0.0,1.0,ENTRY_BUY
2026-05-09T01:10:00+00:00,SELL,92.575,92.62,92.61999,92.62,3.0,1.0,TP_HIT
2026-05-09T09:05:00+00:00,SHORT,93.665,,93.66001,93.66,0.0,1.0,ENTRY_SHORT
2026-05-09T09:05:00+00:00,COVER,93.665,93.66001,93.66001,93.66,2.994,1.0,SL_HIT
