timestamp_utc,instrument,timeframe,open,high,low,close,volume,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-05-08T09:50:00Z,DOGEUSDT,5m,0.10707000,0.10710000,0.10693000,0.10705000,2631058.00000000,0.5000,0.5000,NEUTRAL,0.0
2026-05-08T09:55:00Z,DOGEUSDT,5m,0.10705000,0.10717000,0.10698000,0.10714000,3444568.00000000,0.5000,1.0000,NEUTRAL,0.0
2026-05-08T10:00:00Z,DOGEUSDT,5m,0.10714000,0.10752000,0.10714000,0.10734000,3916873.00000000,0.6131,1.0000,NEUTRAL,0.0
2026-05-08T10:05:00Z,DOGEUSDT,5m,0.10734000,0.10735000,0.10701000,0.10705000,2458216.00000000,0.4121,0.0000,NEUTRAL,0.0
2026-05-08T10:10:00Z,DOGEUSDT,5m,0.10705000,0.10711000,0.10698000,0.10701000,2465087.00000000,0.4144,0.0000,NEUTRAL,0.0
2026-05-08T10:15:00Z,DOGEUSDT,5m,0.10700000,0.10709000,0.10693000,0.10697000,2597168.00000000,0.4722,0.0000,NEUTRAL,0.0
2026-05-08T10:20:00Z,DOGEUSDT,5m,0.10698000,0.10701000,0.10677000,0.10689000,2743622.00000000,0.4537,0.0000,NEUTRAL,0.0
2026-05-08T10:25:00Z,DOGEUSDT,5m,0.10689000,0.10696000,0.10679000,0.10692000,2104578.00000000,0.4954,0.0667,NEUTRAL,0.0
2026-05-08T10:30:00Z,DOGEUSDT,5m,0.10691000,0.10723000,0.10690000,0.10716000,1529209.00000000,0.6179,0.6000,NEUTRAL,0.0
2026-05-08T10:35:00Z,DOGEUSDT,5m,0.10716000,0.10741000,0.10714000,0.10730000,2264474.00000000,0.6200,0.9111,NEUTRAL,0.0
2026-05-08T10:40:00Z,DOGEUSDT,5m,0.10730000,0.10760000,0.10726000,0.10756000,4615638.00000000,0.6520,1.0000,NEUTRAL,0.0
2026-05-08T10:45:00Z,DOGEUSDT,5m,0.10757000,0.10763000,0.10748000,0.10754000,3379837.00000000,0.5507,0.9701,NEUTRAL,0.0
2026-05-08T10:50:00Z,DOGEUSDT,5m,0.10753000,0.10759000,0.10749000,0.10755000,2680333.00000000,0.5000,0.9851,NEUTRAL,0.0
2026-05-08T10:55:00Z,DOGEUSDT,5m,0.10755000,0.10755000,0.10737000,0.10740000,4595933.00000000,0.4331,0.7612,NEUTRAL,0.0
2026-05-08T11:00:00Z,DOGEUSDT,5m,0.10741000,0.10760000,0.10740000,0.10742000,4086386.00000000,0.4746,0.7910,NEUTRAL,0.0
2026-05-08T11:05:00Z,DOGEUSDT,5m,0.10742000,0.10748000,0.10731000,0.10734000,5318136.00000000,0.4677,0.6716,NEUTRAL,0.0
2026-05-08T11:10:00Z,DOGEUSDT,5m,0.10734000,0.10742000,0.10728000,0.10742000,3537400.00000000,0.5184,0.7910,NEUTRAL,0.0
2026-05-08T11:15:00Z,DOGEUSDT,5m,0.10743000,0.10755000,0.10737000,0.10751000,5474358.00000000,0.5599,0.9254,NEUTRAL,0.0
2026-05-08T11:20:00Z,DOGEUSDT,5m,0.10752000,0.10765000,0.10740000,0.10753000,4119192.00000000,0.5299,0.9552,NEUTRAL,0.0
2026-05-08T11:25:00Z,DOGEUSDT,5m,0.10753000,0.10756000,0.10747000,0.10747000,1671186.00000000,0.4770,0.8657,NEUTRAL,0.0
2026-05-08T11:30:00Z,DOGEUSDT,5m,0.10747000,0.10755000,0.10737000,0.10746000,2364594.00000000,0.4816,0.8507,NEUTRAL,0.0
2026-05-08T11:35:00Z,DOGEUSDT,5m,0.10747000,0.10756000,0.10737000,0.10745000,2368435.00000000,0.4931,0.8358,NEUTRAL,0.0
2026-05-08T11:40:00Z,DOGEUSDT,5m,0.10745000,0.10748000,0.10726000,0.10731000,3846982.00000000,0.4331,0.6269,NEUTRAL,0.0
2026-05-08T11:45:00Z,DOGEUSDT,5m,0.10732000,0.10747000,0.10732000,0.10744000,2114518.00000000,0.5277,0.8209,NEUTRAL,0.0
2026-05-08T11:50:00Z,DOGEUSDT,5m,0.10744000,0.10754000,0.10743000,0.10753000,1856520.00000000,0.5714,0.9552,NEUTRAL,0.0
2026-05-08T11:55:00Z,DOGEUSDT,5m,0.10753000,0.10753000,0.10739000,0.10739000,1875284.00000000,0.4562,0.7463,NEUTRAL,0.0
2026-05-08T12:00:00Z,DOGEUSDT,5m,0.10740000,0.10751000,0.10735000,0.10739000,2972941.00000000,0.4677,0.7463,NEUTRAL,0.0
2026-05-08T12:05:00Z,DOGEUSDT,5m,0.10739000,0.10745000,0.10730000,0.10733000,2602994.00000000,0.4723,0.6406,NEUTRAL,0.0
2026-05-08T12:10:00Z,DOGEUSDT,5m,0.10733000,0.10740000,0.10722000,0.10739000,4095845.00000000,0.5138,0.5750,NEUTRAL,0.0
2026-05-08T12:15:00Z,DOGEUSDT,5m,0.10739000,0.10739000,0.10721000,0.10723000,2241524.00000000,0.4399,0.0000,NEUTRAL,0.0
2026-05-08T12:20:00Z,DOGEUSDT,5m,0.10722000,0.10723000,0.10706000,0.10719000,1331980.00000000,0.4445,0.0000,NEUTRAL,0.0
2026-05-08T12:25:00Z,DOGEUSDT,5m,0.10720000,0.10736000,0.10714000,0.10736000,2345602.00000000,0.5692,0.4722,NEUTRAL,0.0
2026-05-08T12:30:00Z,DOGEUSDT,5m,0.10737000,0.10766000,0.10718000,0.10736000,6795004.00000000,0.5392,0.4722,NEUTRAL,0.0
