timestamp_utc,instrument,timeframe,open,high,low,close,volume,p_model_up,p_market_up,tv_recommendation,tv_confidence
2026-05-08T12:20:00Z,XRPUSDT,5m,1.39170000,1.39170000,1.39050000,1.39050000,153950.90000000,0.5000,0.5000,NEUTRAL,0.0
2026-05-08T12:25:00Z,XRPUSDT,5m,1.39060000,1.39090000,1.38990000,1.39090000,315386.30000000,0.5000,1.0000,NEUTRAL,0.0
2026-05-08T12:30:00Z,XRPUSDT,5m,1.39090000,1.39400000,1.39060000,1.39290000,645254.30000000,0.5789,1.0000,NEUTRAL,0.0
2026-05-08T12:35:00Z,XRPUSDT,5m,1.39290000,1.39340000,1.39200000,1.39240000,226583.70000000,0.5179,0.7917,NEUTRAL,0.0
2026-05-08T12:40:00Z,XRPUSDT,5m,1.39250000,1.39280000,1.39140000,1.39150000,341783.30000000,0.4587,0.4167,NEUTRAL,0.0
2026-05-08T12:45:00Z,XRPUSDT,5m,1.39160000,1.39160000,1.39010000,1.39010000,236466.30000000,0.4335,0.0000,NEUTRAL,0.0
2026-05-08T12:50:00Z,XRPUSDT,5m,1.39010000,1.39020000,1.38800000,1.38970000,500816.60000000,0.4605,0.0000,NEUTRAL,0.0
2026-05-08T12:55:00Z,XRPUSDT,5m,1.38980000,1.39020000,1.38640000,1.38780000,306569.40000000,0.4244,0.0000,NEUTRAL,0.0
2026-05-08T13:00:00Z,XRPUSDT,5m,1.38780000,1.38850000,1.38680000,1.38750000,350642.50000000,0.4550,0.0000,NEUTRAL,0.0
2026-05-08T13:05:00Z,XRPUSDT,5m,1.38750000,1.38800000,1.38530000,1.38620000,246553.80000000,0.4477,0.0000,NEUTRAL,0.0
2026-05-08T13:10:00Z,XRPUSDT,5m,1.38610000,1.38760000,1.38470000,1.38510000,229429.70000000,0.4369,0.0000,NEUTRAL,0.0
2026-05-08T13:15:00Z,XRPUSDT,5m,1.38520000,1.38810000,1.38520000,1.38700000,152146.20000000,0.5486,0.2436,NEUTRAL,0.0
2026-05-08T13:20:00Z,XRPUSDT,5m,1.38710000,1.38790000,1.38700000,1.38730000,92997.40000000,0.5450,0.2821,NEUTRAL,0.0
2026-05-08T13:25:00Z,XRPUSDT,5m,1.38720000,1.38720000,1.38430000,1.38470000,114044.90000000,0.4116,0.0000,NEUTRAL,0.0
2026-05-08T13:30:00Z,XRPUSDT,5m,1.38470000,1.38680000,1.38420000,1.38680000,226009.10000000,0.5288,0.2561,NEUTRAL,0.0
2026-05-08T13:35:00Z,XRPUSDT,5m,1.38680000,1.38750000,1.38500000,1.38500000,104202.70000000,0.4729,0.0366,NEUTRAL,0.0
2026-05-08T13:40:00Z,XRPUSDT,5m,1.38500000,1.38510000,1.38360000,1.38450000,610737.30000000,0.4495,0.0000,NEUTRAL,0.0
2026-05-08T13:45:00Z,XRPUSDT,5m,1.38450000,1.38710000,1.38450000,1.38660000,238999.50000000,0.5667,0.2500,NEUTRAL,0.0
2026-05-08T13:50:00Z,XRPUSDT,5m,1.38670000,1.38800000,1.38610000,1.38650000,171524.00000000,0.5342,0.2381,NEUTRAL,0.0
2026-05-08T13:55:00Z,XRPUSDT,5m,1.38640000,1.38700000,1.38600000,1.38700000,63192.50000000,0.5162,0.2976,NEUTRAL,0.0
2026-05-08T14:00:00Z,XRPUSDT,5m,1.38710000,1.39090000,1.38710000,1.39060000,323747.30000000,0.6383,0.7262,NEUTRAL,0.0
2026-05-08T14:05:00Z,XRPUSDT,5m,1.39050000,1.39180000,1.39020000,1.39120000,263639.20000000,0.5862,0.7976,NEUTRAL,0.0
2026-05-08T14:10:00Z,XRPUSDT,5m,1.39120000,1.39190000,1.38990000,1.39100000,213837.90000000,0.5036,0.7738,NEUTRAL,0.0
2026-05-08T14:15:00Z,XRPUSDT,5m,1.39100000,1.39670000,1.39050000,1.39580000,554911.80000000,0.6682,1.0000,NEUTRAL,0.0
2026-05-08T14:20:00Z,XRPUSDT,5m,1.39580000,1.39640000,1.39460000,1.39590000,347795.70000000,0.5895,1.0000,NEUTRAL,0.0
2026-05-08T14:25:00Z,XRPUSDT,5m,1.39590000,1.39630000,1.39280000,1.39280000,207507.10000000,0.3906,0.7281,NEUTRAL,0.0
2026-05-08T14:30:00Z,XRPUSDT,5m,1.39290000,1.39320000,1.38920000,1.39250000,252147.70000000,0.4336,0.7018,NEUTRAL,0.0
2026-05-08T14:35:00Z,XRPUSDT,5m,1.39240000,1.39530000,1.39040000,1.39510000,481029.80000000,0.5877,0.9298,NEUTRAL,0.0
2026-05-08T14:40:00Z,XRPUSDT,5m,1.39520000,1.39630000,1.39460000,1.39550000,407626.20000000,0.5609,0.9649,NEUTRAL,0.0
2026-05-08T14:45:00Z,XRPUSDT,5m,1.39550000,1.39620000,1.39440000,1.39460000,274461.20000000,0.4749,0.8860,NEUTRAL,0.0
2026-05-08T14:50:00Z,XRPUSDT,5m,1.39450000,1.39500000,1.39250000,1.39430000,278748.30000000,0.4731,0.8596,NEUTRAL,0.0
2026-05-08T14:55:00Z,XRPUSDT,5m,1.39420000,1.39420000,1.39200000,1.39310000,131643.60000000,0.4516,0.7544,NEUTRAL,0.0
2026-05-08T15:00:00Z,XRPUSDT,5m,1.39310000,1.39420000,1.39080000,1.39080000,212437.60000000,0.3958,0.5526,NEUTRAL,0.0
2026-05-08T15:05:00Z,XRPUSDT,5m,1.39090000,1.39240000,1.39000000,1.39080000,375225.60000000,0.4587,0.5526,NEUTRAL,0.0
2026-05-08T15:10:00Z,XRPUSDT,5m,1.39080000,1.39200000,1.39030000,1.39120000,192253.30000000,0.5144,0.5877,NEUTRAL,0.0
2026-05-08T15:15:00Z,XRPUSDT,5m,1.39110000,1.39140000,1.38960000,1.39010000,211407.50000000,0.4677,0.4912,NEUTRAL,0.0
2026-05-08T15:20:00Z,XRPUSDT,5m,1.39000000,1.39140000,1.38770000,1.38770000,303974.40000000,0.3938,0.2807,NEUTRAL,0.0
2026-05-08T15:25:00Z,XRPUSDT,5m,1.38770000,1.38770000,1.38580000,1.38710000,500252.10000000,0.4352,0.0638,NEUTRAL,0.0
2026-05-08T15:30:00Z,XRPUSDT,5m,1.38710000,1.38860000,1.38550000,1.38860000,198909.60000000,0.5432,0.2234,NEUTRAL,0.0
2026-05-08T15:35:00Z,XRPUSDT,5m,1.38860000,1.39070000,1.38800000,1.39070000,166725.10000000,0.6024,0.4157,NEUTRAL,0.0
2026-05-08T15:40:00Z,XRPUSDT,5m,1.39060000,1.39370000,1.39010000,1.39330000,344511.60000000,0.6309,0.7045,NEUTRAL,0.0
2026-05-08T15:45:00Z,XRPUSDT,5m,1.39330000,1.39550000,1.39270000,1.39430000,123212.10000000,0.5824,0.8182,NEUTRAL,0.0
2026-05-08T15:50:00Z,XRPUSDT,5m,1.39430000,1.39650000,1.39430000,1.39650000,318686.20000000,0.5966,1.0000,NEUTRAL,0.0
2026-05-08T15:55:00Z,XRPUSDT,5m,1.39640000,1.39830000,1.39640000,1.39730000,308089.20000000,0.5679,1.0000,NEUTRAL,0.0
2026-05-08T16:00:00Z,XRPUSDT,5m,1.39730000,1.39770000,1.39360000,1.39380000,294818.10000000,0.3889,0.6569,NEUTRAL,0.0
2026-05-08T16:05:00Z,XRPUSDT,5m,1.39380000,1.39480000,1.39350000,1.39440000,272716.10000000,0.4588,0.7157,NEUTRAL,0.0
2026-05-08T16:10:00Z,XRPUSDT,5m,1.39430000,1.39510000,1.39350000,1.39360000,184098.40000000,0.4821,0.6373,NEUTRAL,0.0
2026-05-08T16:15:00Z,XRPUSDT,5m,1.39360000,1.39520000,1.39270000,1.39490000,168116.30000000,0.5322,0.7647,NEUTRAL,0.0
2026-05-08T16:20:00Z,XRPUSDT,5m,1.39490000,1.39620000,1.39400000,1.39610000,184180.80000000,0.5662,0.8824,NEUTRAL,0.0
2026-05-08T16:25:00Z,XRPUSDT,5m,1.39610000,1.39700000,1.39470000,1.39490000,205406.20000000,0.4785,0.7647,NEUTRAL,0.0
2026-05-08T16:30:00Z,XRPUSDT,5m,1.39490000,1.39510000,1.39310000,1.39440000,244892.50000000,0.4606,0.7157,NEUTRAL,0.0
