timestamp_utc,instrument,action,reason_code,p_model_up,p_market_up,edge,balance,position_qty,position_value,total_equity,price
2026-05-07T08:55:00+00:00,SOLUSDT,HOLD,WARMUP,0.5,0.5,0.0,100.0,0.0,0.0,100.0,89.58
2026-05-07T09:00:00+00:00,SOLUSDT,HOLD,WARMUP,0.5,0.0,0.5,100.0,0.0,0.0,100.0,89.38
2026-05-07T09:05:00+00:00,SOLUSDT,HOLD,WARMUP,0.5391,0.85,0.3109,100.0,0.0,0.0,100.0,89.55
2026-05-07T09:10:00+00:00,SOLUSDT,HOLD,WARMUP,0.5419,0.8,0.2581,100.0,0.0,0.0,100.0,89.54
2026-05-07T09:15:00+00:00,SOLUSDT,HOLD,WARMUP,0.4972,0.8,0.3028,100.0,0.0,0.0,100.0,89.54
2026-05-07T09:20:00+00:00,SOLUSDT,HOLD,WARMUP,0.4497,0.35,0.0997,100.0,0.0,0.0,100.0,89.45
2026-05-07T09:25:00+00:00,SOLUSDT,HOLD,WARMUP,0.3796,0.0,0.3796,100.0,0.0,0.0,100.0,89.28
2026-05-07T09:30:00+00:00,SOLUSDT,HOLD,WARMUP,0.5754,0.7333,0.1579,100.0,0.0,0.0,100.0,89.5
2026-05-07T09:35:00+00:00,SOLUSDT,HOLD,WARMUP,0.4664,0.1667,0.2997,100.0,0.0,0.0,100.0,89.33
2026-05-07T09:40:00+00:00,SOLUSDT,HOLD,WARMUP,0.4356,0.0667,0.3689,100.0,0.0,0.0,100.0,89.3
2026-05-07T09:45:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5699,0.5333,0.0366,75.0,0.279517,25.0,100.0,89.44
2026-05-07T09:50:00+00:00,SOLUSDT,HOLD,HOLD,0.528,0.4667,0.0613,75.0,0.279517,24.99,99.99,89.42
2026-05-07T09:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5168,0.6,0.0832,75.0,0.279517,25.01,100.01,89.46
2026-05-07T10:00:00+00:00,SOLUSDT,HOLD,HOLD,0.5224,0.6667,0.1443,75.0,0.279517,25.01,100.01,89.48
2026-05-07T10:05:00+00:00,SOLUSDT,HOLD,HOLD,0.4328,0.2333,0.1995,75.0,0.279517,24.97,99.97,89.35
2026-05-07T10:10:00+00:00,SOLUSDT,HOLD,HOLD,0.357,0.0,0.357,75.0,0.279517,24.92,99.92,89.16
2026-05-07T10:15:00+00:00,SOLUSDT,HOLD,HOLD,0.4243,0.0,0.4243,75.0,0.279517,24.91,99.91,89.12
2026-05-07T10:20:00+00:00,SOLUSDT,HOLD,HOLD,0.4495,0.0,0.4495,75.0,0.279517,24.89,99.89,89.05
2026-05-07T10:25:00+00:00,SOLUSDT,HOLD,HOLD,0.3282,0.0,0.3282,75.0,0.279517,24.82,99.82,88.78
2026-05-07T10:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4972,0.1625,0.3347,75.0,0.279517,24.85,99.85,88.91
2026-05-07T10:35:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5983,0.3,0.2983,56.25,0.490144,43.63,99.88,89.02
2026-05-07T10:40:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.6205,0.5195,0.101,42.19,0.647831,57.77,99.96,89.18
2026-05-07T10:45:00+00:00,SOLUSDT,HOLD,HOLD,0.5056,0.4286,0.077,42.19,0.647831,57.73,99.92,89.11
2026-05-07T10:50:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.5252,0.5395,0.0143,42.19,0.647831,57.78,99.97,89.19
2026-05-07T10:55:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.5112,0.5132,0.002,42.19,0.647831,57.77,99.95,89.17
2026-05-07T11:00:00+00:00,SOLUSDT,HOLD,HOLD,0.623,0.8611,0.2381,42.19,0.647831,57.92,100.1,89.4
2026-05-07T11:05:00+00:00,SOLUSDT,HOLD,HOLD,0.6313,1.0,0.3687,42.19,0.647831,57.99,100.18,89.52
2026-05-07T11:10:00+00:00,SOLUSDT,HOLD,HOLD,0.5,0.9189,0.4189,42.19,0.647831,57.95,100.14,89.46
2026-05-07T11:15:00+00:00,SOLUSDT,HOLD,HOLD,0.4776,0.9054,0.4278,42.19,0.647831,57.95,100.14,89.45
2026-05-07T11:20:00+00:00,SOLUSDT,TIMEOUT_SELL,TIMEOUT_SELL_EXECUTED,0.5865,1.0,0.4135,100.24,0.0,0.0,100.24,89.61
2026-05-07T11:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4441,0.7831,0.339,100.24,0.0,0.0,100.24,89.43
2026-05-07T11:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4944,0.8795,0.3851,100.24,0.0,0.0,100.24,89.51
2026-05-07T11:35:00+00:00,SOLUSDT,HOLD,HOLD,0.5279,0.8916,0.3637,100.24,0.0,0.0,100.24,89.52
2026-05-07T11:40:00+00:00,SOLUSDT,HOLD,HOLD,0.5474,0.988,0.4406,100.24,0.0,0.0,100.24,89.6
2026-05-07T11:45:00+00:00,SOLUSDT,HOLD,HOLD,0.4273,0.7831,0.3558,100.24,0.0,0.0,100.24,89.43
2026-05-07T11:50:00+00:00,SOLUSDT,HOLD,HOLD,0.4804,0.8434,0.363,100.24,0.0,0.0,100.24,89.48
2026-05-07T11:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5642,0.9518,0.3876,100.24,0.0,0.0,100.24,89.57
2026-05-07T12:00:00+00:00,SOLUSDT,HOLD,HOLD,0.6365,1.0,0.3635,100.24,0.0,0.0,100.24,89.77
