timestamp_utc,instrument,action,reason_code,p_model_up,p_market_up,edge,balance,position_qty,position_value,total_equity,price
2026-05-08T06:55:00+00:00,SOLUSDT,HOLD,WARMUP,0.5,0.5,0.0,100.0,0.0,0.0,100.0,88.05
2026-05-08T07:00:00+00:00,SOLUSDT,HOLD,WARMUP,0.5,0.0,0.5,100.0,0.0,0.0,100.0,87.94
2026-05-08T07:05:00+00:00,SOLUSDT,HOLD,WARMUP,0.4346,0.0,0.4346,100.0,0.0,0.0,100.0,87.88
2026-05-08T07:10:00+00:00,SOLUSDT,HOLD,WARMUP,0.426,0.0,0.426,100.0,0.0,0.0,100.0,87.78
2026-05-08T07:15:00+00:00,SOLUSDT,HOLD,WARMUP,0.4886,0.1111,0.3775,100.0,0.0,0.0,100.0,87.81
2026-05-08T07:20:00+00:00,SOLUSDT,HOLD,WARMUP,0.4744,0.0,0.4744,100.0,0.0,0.0,100.0,87.75
2026-05-08T07:25:00+00:00,SOLUSDT,HOLD,WARMUP,0.5171,0.2,0.3171,100.0,0.0,0.0,100.0,87.81
2026-05-08T07:30:00+00:00,SOLUSDT,HOLD,WARMUP,0.5569,0.4333,0.1236,100.0,0.0,0.0,100.0,87.88
2026-05-08T07:35:00+00:00,SOLUSDT,HOLD,WARMUP,0.5654,0.7,0.1346,100.0,0.0,0.0,100.0,87.96
2026-05-08T07:40:00+00:00,SOLUSDT,HOLD,WARMUP,0.5738,1.0,0.4262,100.0,0.0,0.0,100.0,88.05
2026-05-08T07:45:00+00:00,SOLUSDT,HOLD,HOLD,0.6049,1.0,0.3951,100.0,0.0,0.0,100.0,88.19
2026-05-08T07:50:00+00:00,SOLUSDT,HOLD,HOLD,0.534,0.9773,0.4433,100.0,0.0,0.0,100.0,88.18
2026-05-08T07:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5198,1.0,0.4802,100.0,0.0,0.0,100.0,88.22
2026-05-08T08:00:00+00:00,SOLUSDT,HOLD,HOLD,0.5397,1.0,0.4603,100.0,0.0,0.0,100.0,88.27
2026-05-08T08:05:00+00:00,SOLUSDT,HOLD,HOLD,0.4858,0.9038,0.418,100.0,0.0,0.0,100.0,88.22
2026-05-08T08:10:00+00:00,SOLUSDT,HOLD,HOLD,0.4858,0.9038,0.418,100.0,0.0,0.0,100.0,88.22
2026-05-08T08:15:00+00:00,SOLUSDT,HOLD,HOLD,0.466,0.7885,0.3225,100.0,0.0,0.0,100.0,88.16
2026-05-08T08:20:00+00:00,SOLUSDT,HOLD,HOLD,0.4205,0.5769,0.1564,100.0,0.0,0.0,100.0,88.05
2026-05-08T08:25:00+00:00,SOLUSDT,HOLD,HOLD,0.5539,0.8654,0.3115,100.0,0.0,0.0,100.0,88.2
2026-05-08T08:30:00+00:00,SOLUSDT,HOLD,HOLD,0.5934,1.0,0.4066,100.0,0.0,0.0,100.0,88.29
2026-05-08T08:35:00+00:00,SOLUSDT,HOLD,HOLD,0.6215,1.0,0.3785,100.0,0.0,0.0,100.0,88.46
2026-05-08T08:40:00+00:00,SOLUSDT,HOLD,HOLD,0.5593,1.0,0.4407,100.0,0.0,0.0,100.0,88.48
2026-05-08T08:45:00+00:00,SOLUSDT,HOLD,HOLD,0.5282,1.0,0.4718,100.0,0.0,0.0,100.0,88.52
2026-05-08T08:50:00+00:00,SOLUSDT,HOLD,HOLD,0.5056,0.987,0.4814,100.0,0.0,0.0,100.0,88.51
2026-05-08T08:55:00+00:00,SOLUSDT,HOLD,HOLD,0.4236,0.8182,0.3946,100.0,0.0,0.0,100.0,88.38
2026-05-08T09:00:00+00:00,SOLUSDT,HOLD,HOLD,0.4179,0.7143,0.2964,100.0,0.0,0.0,100.0,88.3
2026-05-08T09:05:00+00:00,SOLUSDT,HOLD,HOLD,0.5735,0.9296,0.3561,100.0,0.0,0.0,100.0,88.47
2026-05-08T09:10:00+00:00,SOLUSDT,HOLD,HOLD,0.5932,1.0,0.4068,100.0,0.0,0.0,100.0,88.55
2026-05-08T09:15:00+00:00,SOLUSDT,HOLD,HOLD,0.5339,1.0,0.4661,100.0,0.0,0.0,100.0,88.57
2026-05-08T09:20:00+00:00,SOLUSDT,HOLD,HOLD,0.5451,1.0,0.4549,100.0,0.0,0.0,100.0,88.64
2026-05-08T09:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4746,0.8644,0.3898,100.0,0.0,0.0,100.0,88.56
2026-05-08T09:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4944,0.9153,0.4209,100.0,0.0,0.0,100.0,88.59
2026-05-08T09:35:00+00:00,SOLUSDT,HOLD,HOLD,0.4746,0.8136,0.339,100.0,0.0,0.0,100.0,88.53
2026-05-08T09:40:00+00:00,SOLUSDT,HOLD,HOLD,0.4491,0.7119,0.2628,100.0,0.0,0.0,100.0,88.47
2026-05-08T09:45:00+00:00,SOLUSDT,HOLD,HOLD,0.4378,0.5763,0.1385,100.0,0.0,0.0,100.0,88.39
2026-05-08T09:50:00+00:00,SOLUSDT,HOLD,HOLD,0.4717,0.5593,0.0876,100.0,0.0,0.0,100.0,88.38
2026-05-08T09:55:00+00:00,SOLUSDT,HOLD,HOLD,0.5311,0.661,0.1299,100.0,0.0,0.0,100.0,88.44
2026-05-08T10:00:00+00:00,SOLUSDT,HOLD,HOLD,0.596,0.8983,0.3023,100.0,0.0,0.0,100.0,88.58
2026-05-08T10:05:00+00:00,SOLUSDT,HOLD,HOLD,0.3981,0.2955,0.1026,100.0,0.0,0.0,100.0,88.33
2026-05-08T10:10:00+00:00,SOLUSDT,HOLD,HOLD,0.4746,0.3429,0.1317,100.0,0.0,0.0,100.0,88.41
2026-05-08T10:15:00+00:00,SOLUSDT,BUY,BUY_EXECUTED,0.5452,0.4412,0.104,65.0,0.395704,35.0,100.0,88.45
2026-05-08T10:20:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.5283,0.5294,0.0011,65.0,0.395704,35.01,100.01,88.48
2026-05-08T10:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4972,0.4706,0.0266,65.0,0.395704,35.0,100.0,88.46
2026-05-08T10:30:00+00:00,SOLUSDT,HOLD,HOLD,0.5677,0.8529,0.2852,65.0,0.395704,35.06,100.06,88.59
2026-05-08T10:35:00+00:00,SOLUSDT,HOLD,HOLD,0.5649,1.0,0.4351,65.0,0.395704,35.08,100.08,88.64
2026-05-08T10:40:00+00:00,SOLUSDT,HOLD,HOLD,0.531,1.0,0.469,65.0,0.395704,35.09,100.09,88.67
2026-05-08T10:45:00+00:00,SOLUSDT,HOLD,HOLD,0.5141,1.0,0.4859,65.0,0.395704,35.09,100.09,88.68
2026-05-08T10:50:00+00:00,SOLUSDT,HOLD,HOLD,0.5197,1.0,0.4803,65.0,0.395704,35.1,100.1,88.71
2026-05-08T10:55:00+00:00,SOLUSDT,SELL,SELL_EXECUTED,0.4633,0.7895,0.3262,100.07,0.0,0.0,100.07,88.63
2026-05-08T11:00:00+00:00,SOLUSDT,HOLD,HOLD,0.4887,0.8421,0.3534,100.07,0.0,0.0,100.07,88.65
2026-05-08T11:05:00+00:00,SOLUSDT,HOLD,HOLD,0.4661,0.6579,0.1918,100.07,0.0,0.0,100.07,88.58
2026-05-08T11:10:00+00:00,SOLUSDT,HOLD,HOLD,0.4859,0.6842,0.1983,100.07,0.0,0.0,100.07,88.59
2026-05-08T11:15:00+00:00,SOLUSDT,HOLD,HOLD,0.5367,0.8421,0.3054,100.07,0.0,0.0,100.07,88.65
2026-05-08T11:20:00+00:00,SOLUSDT,HOLD,HOLD,0.5338,0.9211,0.3873,100.07,0.0,0.0,100.07,88.68
2026-05-08T11:25:00+00:00,SOLUSDT,HOLD,HOLD,0.4972,0.8684,0.3712,100.07,0.0,0.0,100.07,88.66
2026-05-08T11:30:00+00:00,SOLUSDT,HOLD,HOLD,0.4944,0.8684,0.374,100.07,0.0,0.0,100.07,88.66
2026-05-08T11:35:00+00:00,SOLUSDT,HOLD,HOLD,0.4718,0.7368,0.265,100.07,0.0,0.0,100.07,88.61
2026-05-08T11:40:00+00:00,SOLUSDT,HOLD,HOLD,0.435,0.5,0.065,100.07,0.0,0.0,100.07,88.52
2026-05-08T11:45:00+00:00,SOLUSDT,HOLD,HOLD,0.5423,0.8158,0.2735,100.07,0.0,0.0,100.07,88.64
2026-05-08T11:50:00+00:00,SOLUSDT,HOLD,HOLD,0.5564,0.9,0.3436,100.07,0.0,0.0,100.07,88.68
2026-05-08T11:55:00+00:00,SOLUSDT,HOLD,HOLD,0.4887,0.7308,0.2421,100.07,0.0,0.0,100.07,88.64
2026-05-08T12:00:00+00:00,SOLUSDT,HOLD,HOLD,0.4661,0.56,0.0939,100.07,0.0,0.0,100.07,88.6
2026-05-08T12:05:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.4774,0.48,0.0026,100.07,0.0,0.0,100.07,88.58
2026-05-08T12:10:00+00:00,SOLUSDT,HOLD,EDGE_TOO_LOW,0.5169,0.5263,0.0094,100.07,0.0,0.0,100.07,88.62
2026-05-08T12:15:00+00:00,SOLUSDT,HOLD,HOLD,0.5113,0.5263,0.015,100.07,0.0,0.0,100.07,88.62
2026-05-08T12:20:00+00:00,SOLUSDT,HOLD,HOLD,0.4718,0.2632,0.2086,100.07,0.0,0.0,100.07,88.57
2026-05-08T12:25:00+00:00,SOLUSDT,HOLD,HOLD,0.5648,1.0,0.4352,100.07,0.0,0.0,100.07,88.71
