entry_timestamp_utc,exit_timestamp_utc,instrument,timeframe,side,stake,p_side_model,edge,entry_price,exit_price,result,pnl,equity_after
2026-05-08T15:30:00+00:00,2026-05-08T15:35:00+00:00,SOLUSDT,5m,UP,2.0,0.6604,0.1604,88.82,89.06,WIN,1.9,101.9
2026-05-08T21:00:00+00:00,2026-05-08T21:05:00+00:00,SOLUSDT,5m,UP,0.63961,0.5434,0.4184,92.19,91.88,LOSS,-0.63961,101.26039
2026-05-08T21:15:00+00:00,2026-05-08T21:20:00+00:00,SOLUSDT,5m,UP,1.144829,0.5679,0.3735,92.02,92.0,LOSS,-1.144829,100.115561
2026-05-08T21:20:00+00:00,2026-05-08T21:25:00+00:00,SOLUSDT,5m,UP,0.126989,0.519,0.3523,92.0,91.93,LOSS,-0.126989,99.988572
2026-05-09T09:20:00+00:00,2026-05-09T09:25:00+00:00,SOLUSDT,5m,UP,0.834905,0.5535,0.1821,93.43,93.44,WIN,0.793159,100.781732
2026-05-09T09:25:00+00:00,2026-05-09T09:30:00+00:00,SOLUSDT,5m,UP,1.284224,0.5749,0.1892,93.44,93.4,LOSS,-1.284224,99.497507
2026-05-09T09:55:00+00:00,2026-05-09T10:00:00+00:00,SOLUSDT,5m,UP,0.011835,0.5134,0.342,93.29,93.18,LOSS,-0.011835,99.485672
2026-05-09T10:10:00+00:00,2026-05-09T10:15:00+00:00,SOLUSDT,5m,UP,0.996113,0.5616,0.3616,93.28,93.45,WIN,0.946308,100.43198
2026-05-09T10:15:00+00:00,2026-05-09T10:20:00+00:00,SOLUSDT,5m,UP,2.00864,0.6257,0.1495,93.45,93.32,LOSS,-2.00864,98.42334
