timestamp_utc,instrument,timeframe,action,reason_code,p_model_up,p_market_up,tv_recommendation,tv_confidence,edge,atr,adx,stake,equity
2026-05-08T07:15:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4886,0.0508,NEUTRAL,0.0,-0.4378,0.14186961,20.502749,0.0,100.0
2026-05-08T07:20:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4744,0.0,NEUTRAL,0.0,-0.4744,0.14816463,22.312554,0.0,100.0
2026-05-08T07:25:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5171,0.1176,NEUTRAL,0.0,0.3995,0.14615287,23.993087,0.087842,100.08
2026-05-08T07:30:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5569,0.2955,NEUTRAL,0.0,0.2614,0.1449991,24.266484,0.905545,100.94
2026-05-08T07:35:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5654,0.4773,NEUTRAL,0.0,0.0881,0.14607059,23.623974,1.089448,101.98
2026-05-08T07:40:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5738,0.6818,NEUTRAL,0.0,-0.108,0.14563698,22.32001,0.0,101.98
2026-05-08T07:45:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.6049,1.0,NEUTRAL,0.0,-0.3951,0.14880576,21.325895,0.0,101.98
2026-05-08T07:50:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.534,0.9773,NEUTRAL,0.0,-0.4433,0.14889107,20.402789,0.0,101.98
2026-05-08T07:55:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5198,1.0,NEUTRAL,0.0,-0.4802,0.14468456,19.694709,0.0,101.98
2026-05-08T08:00:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5397,1.0,NEUTRAL,0.0,-0.4603,0.14006424,19.336328,0.0,101.98
2026-05-08T08:05:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4858,0.9038,NEUTRAL,0.0,0.418,0.14434536,19.624084,0.0,101.98
2026-05-08T08:10:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4858,0.9038,NEUTRAL,0.0,0.418,0.14189212,19.891286,0.0,101.98
2026-05-08T08:15:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.466,0.7885,NEUTRAL,0.0,0.3225,0.13889983,19.805686,0.0,101.98
2026-05-08T08:20:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4205,0.5769,NEUTRAL,0.0,0.1564,0.1396927,18.623289,0.0,101.98
2026-05-08T08:25:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5539,0.8654,NEUTRAL,0.0,-0.3115,0.14900036,18.16435,0.0,101.98
2026-05-08T08:30:00+00:00,SOLUSDT,5m,NO_TRADE,ADX_TOO_LOW,0.5934,1.0,NEUTRAL,0.0,0.0,0.14550034,17.815298,0.0,101.98
2026-05-08T08:35:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.6215,1.0,NEUTRAL,0.0,-0.3785,0.14725031,18.62928,0.0,101.98
2026-05-08T08:40:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5593,1.0,NEUTRAL,0.0,-0.4407,0.14673243,19.715177,0.0,101.98
2026-05-08T08:45:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5282,1.0,NEUTRAL,0.0,-0.4718,0.1483944,21.263082,0.0,101.98
2026-05-08T08:50:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5056,0.987,NEUTRAL,0.0,-0.4814,0.14350909,22.700422,0.0,101.98
2026-05-08T08:55:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4236,0.8182,NEUTRAL,0.0,0.3946,0.1454013,22.854299,0.0,101.98
2026-05-08T09:00:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4179,0.7143,NEUTRAL,0.0,0.2964,0.14644406,21.920105,0.0,101.98
2026-05-08T09:05:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5735,0.9296,NEUTRAL,0.0,-0.3561,0.15026948,21.625421,0.0,101.98
2026-05-08T09:10:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5932,1.0,NEUTRAL,0.0,-0.4068,0.14739309,21.812188,0.0,101.98
2026-05-08T09:15:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5339,1.0,NEUTRAL,0.0,-0.4661,0.14186501,22.20483,0.0,101.98
2026-05-08T09:20:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5451,1.0,NEUTRAL,0.0,-0.4549,0.14101751,23.033527,0.0,101.98
2026-05-08T09:25:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4746,0.8644,NEUTRAL,0.0,0.3898,0.14308769,23.950025,0.0,101.98
2026-05-08T09:30:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4944,0.9153,NEUTRAL,0.0,0.4209,0.14001,24.486668,0.0,101.98
2026-05-08T09:35:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4746,0.8136,NEUTRAL,0.0,0.339,0.13786643,24.771539,0.0,101.98
2026-05-08T09:40:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4491,0.7119,NEUTRAL,0.0,0.2628,0.13301883,24.607765,0.0,101.98
2026-05-08T09:45:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4378,0.5763,NEUTRAL,0.0,0.1385,0.13494605,23.146914,0.0,101.98
2026-05-08T09:50:00+00:00,SOLUSDT,5m,NO_TRADE,DOWN_SKIPPED,0.4717,0.5593,NEUTRAL,0.0,0.0876,0.13030705,21.79041,0.0,101.98
2026-05-08T09:55:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5311,0.661,NEUTRAL,0.0,-0.1299,0.12885655,21.00462,0.0,101.98
2026-05-08T10:00:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.596,0.8983,NEUTRAL,0.0,-0.3023,0.13250965,21.331496,0.0,101.98
2026-05-08T10:05:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.3981,0.2955,NEUTRAL,0.0,-0.1026,0.14447325,20.348763,0.0,101.98
2026-05-08T10:10:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4746,0.3429,NEUTRAL,0.0,-0.1317,0.14272516,19.436226,0.0,101.98
2026-05-08T10:15:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5452,0.4412,NEUTRAL,0.0,0.104,0.14038765,18.732084,0.677783,102.62
