timestamp_utc,instrument,timeframe,action,reason_code,p_model_up,p_market_up,tv_recommendation,tv_confidence,edge,atr,adx,stake,equity
2026-05-07T09:15:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4972,0.1739,NEUTRAL,0.0,-0.3233,0.21544435,24.092979,0.0,100.0
2026-05-07T09:20:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4497,0.0761,NEUTRAL,0.0,-0.3736,0.21434118,22.712151,0.0,100.0
2026-05-07T09:25:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.3796,0.0,NEUTRAL,0.0,-0.3796,0.21760252,22.341442,0.0,100.0
2026-05-07T09:30:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5754,0.2245,NEUTRAL,0.0,0.3509,0.22777377,21.150172,6.903044,93.1
2026-05-07T09:35:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4664,0.051,NEUTRAL,0.0,-0.4154,0.23007565,20.043992,0.0,93.1
2026-05-07T09:40:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4356,0.0204,NEUTRAL,0.0,-0.4152,0.22507024,19.287155,0.0,93.1
2026-05-07T09:45:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5699,0.1633,NEUTRAL,0.0,0.4066,0.2189938,18.451568,5.861708,87.24
2026-05-07T09:50:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.528,0.1628,NEUTRAL,0.0,0.3652,0.2126371,17.537598,1.460689,88.62
2026-05-07T09:55:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5168,0.3158,NEUTRAL,0.0,0.201,0.20244873,16.545664,0.389029,88.99
2026-05-07T10:00:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5224,0.3509,NEUTRAL,0.0,0.1715,0.19941668,15.463028,0.940382,88.05
2026-05-07T10:05:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4328,0.1228,NEUTRAL,0.0,-0.31,0.1966012,14.479907,0.0,88.05
2026-05-07T10:10:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.357,0.0,NEUTRAL,0.0,-0.357,0.2054154,15.344437,0.0,88.05
2026-05-07T10:15:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4243,0.0,NEUTRAL,0.0,-0.4243,0.20145716,16.147215,0.0,88.05
2026-05-07T10:20:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4495,0.0,NEUTRAL,0.0,-0.4495,0.19492451,17.218684,0.0,88.05
2026-05-07T10:25:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.3282,0.0,NEUTRAL,0.0,-0.3282,0.2024299,19.223024,0.0,88.05
2026-05-07T10:30:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.4972,0.1461,NEUTRAL,0.0,-0.3511,0.20082776,21.084197,0.0,88.05
2026-05-07T10:35:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.5983,0.3,NEUTRAL,0.0,0.2983,0.20076864,22.049579,7.044168,94.74
2026-05-07T10:40:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.6205,0.5195,NEUTRAL,0.0,0.101,0.19999945,21.759817,7.579525,87.16
2026-05-07T10:45:00+00:00,SOLUSDT,5m,NO_TRADE,STAKE_ZERO,0.5056,0.4286,NEUTRAL,0.0,0.077,0.1942852,21.421341,0.0,87.16
2026-05-07T10:50:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5252,0.5395,NEUTRAL,0.0,-0.0143,0.18897912,21.107041,0.0,87.16
2026-05-07T10:55:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5112,0.5132,NEUTRAL,0.0,-0.002,0.18048061,20.658506,0.0,87.16
2026-05-07T11:00:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.623,0.8611,NEUTRAL,0.0,-0.2381,0.18544628,19.443632,0.0,87.16
2026-05-07T11:05:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.6313,1.0,NEUTRAL,0.0,-0.3687,0.1929144,19.675451,0.0,87.16
2026-05-07T11:10:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5,0.9189,NEUTRAL,0.0,-0.4189,0.18842052,19.822181,0.0,87.16
2026-05-07T11:15:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.4776,0.9054,NEUTRAL,0.0,0.4278,0.18496191,19.744172,0.921066,86.24
2026-05-07T11:20:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5865,1.0,NEUTRAL,0.0,-0.4135,0.18960749,20.35175,0.0,86.24
2026-05-07T11:25:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.4441,0.7831,NEUTRAL,0.0,0.339,0.19034981,20.915928,4.098316,82.15
2026-05-07T11:30:00+00:00,SOLUSDT,5m,NO_TRADE,STAKE_ZERO,0.4944,0.8795,NEUTRAL,0.0,0.3851,0.18818196,21.357583,0.0,82.15
2026-05-07T11:35:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5279,0.8916,NEUTRAL,0.0,-0.3637,0.18259754,21.767691,0.0,82.15
2026-05-07T11:40:00+00:00,SOLUSDT,5m,NO_TRADE,EDGE_TOO_LOW,0.5474,0.988,NEUTRAL,0.0,-0.4406,0.177412,22.639464,0.0,82.15
2026-05-07T11:45:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.4273,0.7831,NEUTRAL,0.0,0.3558,0.17973971,22.6477,5.425861,76.72
2026-05-07T11:50:00+00:00,SOLUSDT,5m,TRADE_EXECUTED,EDGE_AND_FILTERS_OK,0.4804,0.8434,NEUTRAL,0.0,0.363,0.18190116,21.509763,0.573733,76.15
2026-05-07T11:55:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5642,0.9518,NEUTRAL,0.0,0.0,0.18033679,21.17731,0.0,76.15
2026-05-07T12:00:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.6365,1.0,NEUTRAL,0.0,0.0,0.18816988,21.736165,0.0,76.15
2026-05-07T12:05:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5446,0.9798,NEUTRAL,0.0,0.0,0.1833006,22.255101,0.0,76.15
2026-05-07T12:10:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.6222,1.0,NEUTRAL,0.0,0.0,0.18806485,23.536821,0.0,76.15
2026-05-07T12:15:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.525,0.9271,NEUTRAL,0.0,0.0,0.19106021,25.046623,0.0,76.15
2026-05-07T12:20:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.4304,0.8161,NEUTRAL,0.0,0.0,0.18955591,25.537384,0.0,76.15
2026-05-07T12:25:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5361,0.9425,NEUTRAL,0.0,0.0,0.18815906,26.142298,0.0,76.15
2026-05-07T12:30:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5083,0.8889,NEUTRAL,0.0,0.0,0.1861477,26.854776,0.0,76.15
2026-05-07T12:35:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.4944,0.9012,NEUTRAL,0.0,0.0,0.17928001,27.516362,0.0,76.15
2026-05-07T12:40:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5083,0.8793,NEUTRAL,0.0,0.0,0.17290286,27.867518,0.0,76.15
2026-05-07T12:45:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.4081,0.5636,NEUTRAL,0.0,0.0,0.18126695,26.852545,0.0,76.15
2026-05-07T12:50:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.4694,0.6182,NEUTRAL,0.0,0.0,0.17760502,25.91007,0.0,76.15
2026-05-07T12:55:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5084,0.6182,NEUTRAL,0.0,0.0,0.17349038,25.034914,0.0,76.15
2026-05-07T13:00:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.3828,0.2364,NEUTRAL,0.0,0.0,0.17752678,23.368124,0.0,76.15
2026-05-07T13:05:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.2956,0.0,NEUTRAL,0.0,0.0,0.18484629,23.190899,0.0,76.15
2026-05-07T13:10:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.3261,0.0,NEUTRAL,0.0,0.0,0.19450013,24.007858,0.0,76.15
2026-05-07T13:15:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.6007,0.314,NEUTRAL,0.0,0.0,0.20417869,24.159761,0.0,76.15
2026-05-07T13:20:00+00:00,SOLUSDT,5m,NO_TRADE,STREAK_PAUSE,0.5978,0.3605,NEUTRAL,0.0,0.0,0.2045945,23.727612,0.0,76.15
